cluster,desirability_class,n,pct
0,balanced,90,0.75
0,hard_dominant,17,0.14166666666666666
0,soft_dominant,13,0.10833333333333334
1,balanced,59,0.6145833333333334
1,hard_dominant,23,0.23958333333333334
1,soft_dominant,14,0.14583333333333334
2,balanced,95,0.5191256830601093
2,hard_dominant,17,0.09289617486338798
2,soft_dominant,71,0.3879781420765027
3,balanced,44,0.6027397260273972
3,hard_dominant,20,0.273972602739726
3,soft_dominant,9,0.1232876712328767
4,balanced,55,0.44715447154471544
4,hard_dominant,55,0.44715447154471544
4,soft_dominant,13,0.10569105691056911
5,balanced,60,0.6060606060606061
5,hard_dominant,8,0.08080808080808081
5,soft_dominant,31,0.31313131313131315
6,balanced,82,0.5256410256410257
6,hard_dominant,40,0.2564102564102564
6,soft_dominant,34,0.21794871794871795
7,balanced,49,0.5697674418604651
7,hard_dominant,27,0.313953488372093
7,soft_dominant,10,0.11627906976744186
8,balanced,63,0.41721854304635764
8,hard_dominant,44,0.2913907284768212
8,soft_dominant,44,0.2913907284768212
9,balanced,30,0.625
9,hard_dominant,4,0.08333333333333333
9,soft_dominant,14,0.2916666666666667
