cluster,post_id,title_std,distance_to_centroid
0,1qn6qhu,"Weekly Entering & Transitioning - Thread 26 Jan, 2026 - 02 Feb, 2026",0.9592267068830354
0,1qgv0ij,"Weekly Entering & Transitioning - Thread 19 Jan, 2026 - 26 Jan, 2026",0.9593768503414933
0,1qalzjc,"Weekly Entering & Transitioning - Thread 12 Jan, 2026 - 19 Jan, 2026",0.9593768503414933
1,1qpdt43,Data Cleaning and Processing,0.9178451307014399
1,1qsopst,M.S. in GIS or Data Science?,0.919684023431042
1,1qsls5g,"Am I drifting away from Data Science, or building useful foundations? (2 YOE working in a startup, no coding)",0.9236693803650075
2,1q7dqqq,What AI tools are you actually using in your day-to-day data analytics workflow?,0.9390853594814736
2,1q9anqi,"For people at new or small startups, how do you manage version chaos on recurring monthly client dashboards?",0.942299955583306
2,1qry3px,Do most analytics teams overestimate how “bad” their data actually is?,0.9437770850074458
3,1qvizak,Data Engineering as an After Thought,0.8150349920893208
3,1qnlb3a,Data Engineering Streaming Cohort 21 FERUARY 2026,0.8410551288755752
3,1qmv6r8,Data Engineering Streaming Cohort 21 FERUARY 2026,0.8410551288755752
4,1qlkijq,Upskill Career Advice,0.9399515503502389
4,1qig8ea,Senior DE on on-prem + SQL only — how bad is that?,0.9412593720202811
4,1qemxue,Germany DE market for someone with around 1 YOE?,0.9434427925121436
5,1qfv37u,Looking for Data Analytics Internship – Any Advice or Leads?,0.9011374785544368
5,1qgdfaz,Is Data Analytics a Realistic Long-Term Career or Just Hype?,0.9090117141371776
5,1qgdg9x,Data Analytics: Real Career Growth or Overrated Field?,0.9090272900343378
6,1qahyip,Best Bronze Table Pattern for Hourly Rolling-Window CSVs with No CDC?,0.9065945279066995
6,1qbilj6,Is my storage method effective?,0.9211471289447144
6,1qj7daf,I am so bad at off the cuff questions about process,0.9332484928972877
7,1qit8ta,Help with project in audification,0.8793287632995506
7,1q9gsng,Porfolio worthy projects?,0.8934868517487347
7,1qho5x2,School Project for Beginner DE,0.9074351651126349
8,1qq3znr,Early-career data analyst struggling. Is it the job or the role itself?,0.892941531925063
8,1qdfn9v,Is it possible to switch from KPO Analyst to Data Analyst?,0.8971275517061017
8,1qc7hhi,breaking back into data analysis with a marketing degree,0.897614027044239
9,1qlea28,Some questions about data analysis,0.7887240202204695
9,1qc1zqo,Data analysis/cleaning,0.8329089322706646
9,1qle8pb,Wondering some things about data analysis,0.8919878183566589
