term,avg_tfidf
tool,0.022517500653146196
sql,0.021587259875791954
company,0.019653559380638907
engineer,0.019409786689029734
python,0.018765004153972534
table,0.017246826335375554
business,0.016740205051787582
working,0.01663952159653725
people,0.015101577003535142
course,0.014732620507509522
feel,0.014141502522478382
good,0.014001974393393233
first,0.013777306364265064
real,0.013767105347714996
skill,0.01368731092041889
file,0.013554840198570265
actually,0.013550188259556067
model,0.013402239779219284
learning,0.013202518977304614
way,0.012972478477536815
